	bannister	saloon	tables	bar	street	bannisterchest	ohanlongun	sullivanshirt	bartender	peanut	sullivan	bannistergun	crowd	sullivanhand	salooncorner	o'hanlon	saloondoor
0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	
1	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	
2	0	0	0	1.0	0	0	0	0	1.0	0	1.0	0	0	0	1.0	1.0	1.0	
3	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
4	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	
5	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	0	
6	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
7	2.5	0	1.0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	
8	0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	1.0	1.0	0	0	0	
9	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	
10	1.0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	1.0	0	
11	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
12	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	
13	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
14	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
15	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
16	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
17	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
18	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
19	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
20	1.0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	1.0	0	
21	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	
22	1.0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	1.0	0	
23	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	
24	1.0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	1.0	0	
25	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	1.0	0	
26	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	
27	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	
28	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	
29	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	1.0	1.0	1.0	
30	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	1.0	
