	zeke	bottle	tables	bar	mchandlesgun	ring	cigarette	crowd	soda	sam	ringbox	shirtpocket	mchandles	backbar	door	mouth	samgun	sambody
0	1.0	1.0	1.0	1.0	0	1.0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1.0	0	
1	0	0	0	0	0	0	1.0	0	0	1.0	0	1.0	1.0	0	0	1.0	0	0	
2	0	0	0	1.0	0	1.0	0	0	1.0	1.0	0	0	1.0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	
5	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	
7	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	
9	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	
10	1.0	0	0	1.0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	1.0	0	
11	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	1.0	0	
12	1.3333333333333333	0	0	0	1.0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	1.0	
13	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	
14	0	0	0	0	1.0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	
