	paydengun	cobbcoat	alley	cobb	cobbgun	cobbchair	stella	post	cobbhead	townroadb	porchb	porcha	townroada	payden	cobbhat
0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	
1	0	0	0	1.0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	
2	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	1.0	0	
3	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	1.0	0	
4	0	0	0	1.0	0	0	0	1.0	1.0	1.0	0	1.0	0	1.0	1.0	
5	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	
6	0	0	0	1.0	0	0	0	0	0	1.0	0	1.0	0	0	0	
7	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	
8	0	0	1.0	1.0	0	0	1.0	0	0	0	1.0	0	0	1.0	0	
9	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	
10	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	
11	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	
12	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	1.0	0	
13	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	
14	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	
15	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	
16	2.3333333333333335	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	
17	0	0	0	1.0	2.3333333333333335	0	0	0	0	0	0	0	0	1.0	0	
18	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	1.0	0	
19	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	
20	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	1.0	0	
21	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	
22	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	
23	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	
