	rebecca	bar	woodrowhead	_	window	woodrow	bartender	woodrowshirt	johnny	woodrowchest	thugbgun	saloon	counter	thugbcoat	saloonwall	woodrowgun	ben	piano	thugb	crowd	bottle2	bottle3	bottles1&2	bottle1	johnnyhat	saloonwindow	johnnygun	benhat
rebecca	-	-	-	-	{'leave'}	{'look-at'}	-	-	{'look-at'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
bar	-	-	-	-	-	{'face-at', 'walk'}	{'pick-up+drop', 'drop', 'walk'}	-	{'drop', 'face-at', 'walk'}	-	-	{'walk'}	{'pick-up+drop', 'drop', 'walk'}	-	-	-	-	-	-	-	-	{'drop', 'walk'}	{'pick-up+drop'}	{'drop'}	-	-	-	-	
woodrowhead	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
_	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
window	{'leave'}	-	-	-	-	-	-	-	{'look-at'}	-	-	-	-	-	-	-	{'leave'}	-	-	-	-	-	-	-	-	-	-	-	
woodrow	{'look-at'}	{'face-at', 'walk'}	-	-	-	{'pick-up'}	{'look-at'}	-	{'pick-up', 'square-off', 'face-at', 'walk', 'look-at', 'taunt', 'fire-gun', 'stare-at'}	{'get-shot'}	{'give', 'draw-gun', 'drop-gun', 'raise-gun'}	{'walk'}	-	-	-	{'draw-gun', 'drop-gun'}	{'look-at', 'stare-at', 'provoke'}	-	{'look-at', 'give', 'walk'}	-	-	-	-	-	-	{'face-at'}	{'fire-gun'}	-	
bartender	-	{'pick-up+drop', 'drop', 'walk'}	-	-	-	{'look-at'}	-	-	{'look-at', 'ask-for'}	-	-	-	{'pick-up+drop', 'drop', 'walk'}	-	-	-	-	-	-	-	-	{'drop', 'ask-for', 'walk'}	{'pick-up+drop', 'ask-for'}	-	-	-	-	-	
woodrowshirt	-	-	-	-	-	-	-	-	{'pick-up'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
johnny	{'look-at'}	{'drop', 'face-at', 'walk'}	-	-	{'look-at'}	{'pick-up', 'square-off', 'face-at', 'walk', 'look-at', 'taunt', 'fire-gun', 'stare-at'}	{'look-at', 'ask-for'}	{'pick-up'}	-	-	-	{'walk'}	-	-	-	-	{'look-at', 'stare-at'}	-	{'look-at', 'square-off'}	-	-	{'ask-for'}	{'ask-for'}	{'drop'}	{'adjust-clothing'}	{'face-at'}	{'holster-gun', 'draw-gun', 'fire-gun', 'raise-gun'}	-	
woodrowchest	-	-	-	-	-	{'get-shot'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
thugbgun	-	-	-	-	-	{'give', 'draw-gun', 'drop-gun', 'raise-gun'}	-	-	-	-	-	-	-	-	-	-	-	-	{'give', 'draw-gun'}	-	-	-	-	-	-	-	-	-	
saloon	-	{'walk'}	-	-	-	{'walk'}	-	-	{'walk'}	-	-	-	-	-	{'walk'}	-	{'walk'}	-	-	-	-	-	-	-	-	-	-	-	
