shot_name 	 num_appearances
0.75	41
wideto3/4figure	1
overshoulder/extremewide	2
ovsto3/4figure	3
0.75/w	10
None	702
ovstoms	2
3.25	4
ovstobess/becomeswaistshot	1
wto0.75/w	1
ffto3/4figure	1
0.75-ff	1
waist	125
wide/ovs	3
0.75ovs/wide	3
ecu/profile	1
ff/w	1
waist/closeup	1
w-cuforeground	1
0.75/wide	12
cu	156
3/4figure	33
extremecloseup/wide	1
3/4figuretowaist	1
0,75/w	1
cu-w	1
waist/widebg	2
mediumw	2
w--f-cu	1
extremecu	4
3.4-waist	1
extremewide	1
fullshot	2
over3/4figtowide	1
full-figure	2
mediumcu	7
ful	1
mediumwide	5
cu-wide	1
wide/full	1
wide	65
extremewideshot	1
w	26
closeup/0.75bg	1
ecu	33
fullfigure	9
medcu	3
waistshot	16
cu/widebg	1
wast	1
fullfigureofpwithbrincloseforeground	1
3/4figtowidebg	1
0.75towide	8
mediumwideshotofpwithbr'sholsterinfg	1
waist-3.25	1
mediumwidebrinbackgrouns/p'sholsterinfg	1
closeovershoulder/wide	1
mcu	5
ecuwithbillyrayinbg	1
ew	6
ms	1
ovstofullfigure	1
mediumwideofpwithbr'semptyholsterinfg	1
ms-cu	1
cu/profile	1
ff/cu	1
fullfigureto3/4	1
cutofullfigure	1
mediumwideshotofbrwithp'sholsterinfg	1
cu/profilethenrackfocustobystander	1
overfgtoextremewide	1
closeup/wide	3
ecupofile/brturnsheadltor	1
closeup	47
cutoecu	1
ff	6
full-wide	1
2-shot/waist	2
mcutoovstowide	1
extremecloseup	15
closeup/3.25	1
wideshot	6
3/4figurewidebg	1
full	28
3/4figureshot	5
full-3.25	1
waiste	1
3.25shot	2
cu-widebackground	1
waist/reverse	1
