hn2	173.4	32	75	18
ffd	162.1	43	88	22
ed	199.9	55	94	15
pr	201.3	78	117	22
dis	110.0	15	56	18
3a	129.2	68	119	28
outw	195.3	35	121	22
qad	204.1	71	119	29
tout	161.0	57	123	28
csc	127.0	31	64	17
sh	262.7	75	164	25
agf	197.2	75	148	18
bc	237.8	62	156	18
sil	130.5	24	41	15
gfs	122.5	13	55	21
5cs	204.7	39	85	12
hpd	119.3	25	61	18
yg	219.4	71	180	27
jw	102.0	44	55	11
gbu	190.3	80	103	13
tg	136.6	71	136	35
bs	83.1	19	83	13
mslv	129.1	22	61	14
hg	259.2	39	112	21
hmh	144.2	32	69	22
ju	167.0	30	82	19
qdu	155.7	36	90	16
ts	164.1	52	76	12
mnn	176.1	44	71	13
fdm	324.5	90	210	24
